NTPC.NS,NTPC Limited
HINDALCO.NS,Hindalco Industries Limited
ITC.NS,ITC Limited
TECHM.NS,Tech Mahindra Limited
BHARTIARTL.NS,Bharti Airtel Limited
BAJAJ-AUTO.NS,Bajaj Auto Limited
WIPRO.NS,Wipro Limited
NESTLEIND.NS,Nestlé India Limited
ULTRACEMCO.NS,UltraTech Cement Limited
ONGC.NS,Oil and Natural Gas Corporation Limited
ICICIBANK.NS,ICICI Bank Limited
TATASTEEL.NS,Tata Steel Limited
TATACONSUM.NS,Tata Consumer Products Limited
SHREECEM.NS,Shree Cement Limited
LT.NS,Larsen & Toubro Limited
BAJFINANCE.NS,Bajaj Finance Limited
TITAN.NS,Titan Company Limited
BRITANNIA.NS,Britannia Industries Limited
INDUSINDBK.NS,IndusInd Bank Limited
HEROMOTOCO.NS,Hero MotoCorp Limited
TCS.NS,Tata Consultancy Services Limited
HDFCLIFE.NS,HDFC Life Insurance Company Limited
BAJAJFINSV.NS,Bajaj Finserv Ltd.
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited
KOTAKBANK.NS,Kotak Mahindra Bank Limited
MARUTI.NS,Maruti Suzuki India Limited
COALINDIA.NS,Coal India Limited
MM.NS,MM.NS
CIPLA.NS,Cipla Limited
RELIANCE.NS,Reliance Industries Limited
EICHERMOT.NS,Eicher Motors Limited
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited
HDFC.NS,Housing Development Finance Corporation Limited
ASIANPAINT.NS,Asian Paints Limited
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited
INFY,Infosys Limited
BPCL.NS,Bharat Petroleum Corporation Limited
HDFCBANK.NS,HDFC Bank Limited 
GRASIM.NS,Grasim Industries Limited
TATAMOTORS.NS,Tata Motors Limited
SBIN.NS,State Bank of India
HINDUNILVR.NS,Hindustan Unilever Limited
DIVISLAB.NS,Divi's Laboratories Limited
SBILIFE.NS,SBI Life Insurance Company Limited
HCLTECH.NS,HCL Technologies Limited
AXISBANK.NS,Axis Bank Limited
DRREDDY.NS,Dr. Reddy's Laboratories Limited
UPL.NS,UPL Limited
POWERGRID.NS,Power Grid Corporation of India Limited
JSWSTEEL.NS,JSW Steel Limited
